name,artists,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,formatted_date,tempo_category,duration_category
When Your Lover Has Gone,['Jackie Gleason'],172280.0,0.845,0.171,0.292,0.871,0.438,-13.421,0.0375,76.577,0.0925,1,7,9,0,1957-01-01,lento,short
The Test Of Time,['Dean Martin'],136667.0,0.944,0.386,0.0936,0.0,0.0916,-17.468,0.035,100.396,0.193,0,4,9,0,1957-01-01,moderato,short
The Midnight Special,['Odetta'],157747.0,0.697,0.5,0.259,0.16,0.24,-7.132,0.0291,107.252,0.707,1,0,11,0,1957-10-22,moderato,short
Cinderella - Original Broadway Cast: Royal Dressing Room Scene,"['Richard Rodgers', 'Dorothy Stickney', 'Iggie Wolfington', 'George Hall', 'Howard Lindsay', 'Alfredo Antonini']",105493.0,0.833,0.704,0.227,0.0,0.0612,-18.377,0.442,125.929,0.809,1,0,9,0,1957-01-01,presto,short
"All The Things You Are - Live At The Haig, Los Angeles / 1953","['Lee Konitz', 'Gerry Mulligan Quartet']",236507.0,0.866,0.595,0.267,1.45E-4,0.281,-13.207,0.0737,113.492,0.71,1,8,13,0,1957-01-01,moderato,medium
West Side Story: Act II: Tonight - Quintet,"['Leonard Bernstein', 'Johnny Green', 'Jim Bryant', 'Marni Nixon', 'Betty Wand', 'West Side Story Orchestra']",202613.0,0.69,0.444,0.341,0.0,0.173,-12.852,0.239,160.149,0.587,1,9,11,0,1957-01-01,presto,medium
Paris Loves Lovers,"['Fred Astaire', 'Carole Richards']",163933.0,0.97,0.34,0.145,3.93E-6,0.108,-15.477,0.0379,78.711,0.308,1,1,9,0,1957-07-18,lento,short
Cinderella - Original Broadway Cast: Gavotte,"['Richard Rodgers', 'The Cinderella Orchestra', 'Alfredo Antonini']",186400.0,0.938,0.484,0.04,0.924,0.123,-22.603,0.0349,129.564,0.411,1,2,8,0,1957-01-01,presto,medium
I Don't Know Why (I Just Do),['Dean Martin'],177160.0,0.969,0.493,0.0719,0.0442,0.14,-18.446,0.0395,78.632,0.255,1,5,10,0,1957-01-01,lento,short
S' Wonderful,"['Jutta Hipp', 'Zoot Sims']",354200.0,0.628,0.601,0.468,3.21E-6,0.0586,-8.882,0.0401,120.959,0.842,0,7,12,0,1957-01-01,presto,long
My Ship - Mono Version,['Miles Davis'],270760.0,0.992,0.106,0.0325,0.934,0.207,-21.328,0.0366,72.979,0.04,0,2,12,0,1957-01-01,lento,medium
"Llorarás, Llorarás",['Javier Solís'],180600.0,0.504,0.39,0.416,4.03E-6,0.365,-9.625,0.0292,97.733,0.291,0,7,7,0,1957-01-01,moderato,medium
Soul Junction,['Red Garland Quintet'],925947.0,0.937,0.463,0.287,0.837,0.112,-11.758,0.0363,186.764,0.196,0,0,11,0,1957-01-01,presto,long
Singing Bamboos,['Martin Denny'],130013.0,0.827,0.445,0.156,0.655,0.125,-17.552,0.03,85.285,0.336,1,5,9,0,1957-01-01,lento,short
Let's Do It,"['Louis Armstrong', 'Oscar Peterson']",705467.0,0.785,0.47,0.213,0.0,0.105,-16.683,0.381,83.917,0.233,0,5,13,0,1957-10-14,lento,long
A Cottage For Sale,['Nat King Cole'],179453.0,0.515,0.473,0.331,0.0,0.0879,-8.893,0.0332,91.191,0.337,0,0,12,0,1957-01-01,moderato,short
Have You Met Miss Jones?,['Illinois Jacquet'],356347.0,0.797,0.604,0.154,0.503,0.106,-16.562,0.0517,104.49,0.371,1,5,14,0,1957-01-01,moderato,long
Memories of You,['Charles Mingus'],265300.0,0.592,0.435,0.133,0.201,0.117,-15.275,0.0366,117.71,0.0964,0,5,12,0,1957-01-01,moderato,medium
My Honey's Lovin' Arms,['Robert Mitchum'],119720.0,0.846,0.627,0.533,1.97E-4,0.404,-9.325,0.0333,93.667,0.95,1,1,15,0,1957-01-01,moderato,short
True Love - Remastered,['Ricky Nelson'],137200.0,0.896,0.46,0.0453,4.58E-4,0.111,-17.493,0.0296,81.791,0.159,1,5,11,0,1957-11-01,lento,short
Red Pepper Blues,['Art Pepper'],216760.0,0.169,0.53,0.193,2.42E-5,0.343,-22.179,0.0539,163.456,0.661,1,5,11,0,1957-01-01,presto,medium
"\"Piano Concerto No. 5 in E-Flat Major, Op. 73 \"\"Emperor\"\": III. Rondo. Allegro\"","['Ludwig van Beethoven', 'Glenn Gould', 'Leopold Stokowski', 'American Symphony Orchestra']",674373.0,0.941,0.39,0.258,0.938,0.115,-15.699,0.0328,116.464,0.159,1,3,16,0,1957-01-01,moderato,long
Like A Baby,['The Chordettes'],133120.0,0.947,0.641,0.233,7.37E-6,0.143,-11.031,0.031,101.734,0.577,1,5,10,0,1957-01-01,moderato,short
"Clear the Track, Let the Bullgine Run",['Alan Mills and the Four Shipmates'],95227.0,0.926,0.81,0.318,0.0,0.135,-14.992,0.0534,97.063,0.789,0,4,22,0,1957-01-01,moderato,short
Tune Up/When Lights Are Low,['Miles Davis Quintet'],789000.0,0.709,0.504,0.543,0.00144,0.339,-9.207,0.0566,123.197,0.543,1,5,13,0,1957-01-01,presto,long
Rhythm-a-ning,"['Thelonious Monk', 'Gerry Mulligan', 'Wilbur Ware', 'Shadow Wilson']",319200.0,0.65,0.56,0.442,2.93E-6,0.0996,-13.866,0.0508,149.993,0.645,0,0,8,0,1957-01-01,presto,long
Wagon Wheels,['Sonny Rollins'],612027.0,0.422,0.666,0.0991,0.255,0.0789,-20.918,0.0861,130.906,0.369,0,7,14,0,1957-01-01,presto,long
Escales,['Martin Denny'],161213.0,0.91,0.581,0.179,7.62E-5,0.133,-16.15,0.0564,101.172,0.327,1,8,8,0,1957-01-01,moderato,short
Half As Much,['Marty Robbins'],124533.0,0.873,0.612,0.197,1.01E-6,0.109,-12.597,0.0288,105.045,0.226,1,2,10,0,1957-01-01,moderato,short
